"Name","Gross Export","Share","Code","Sector"
"Bovine leather further prepared","42048","0.00009971791905428737","4107","Agriculture"
"Chamois leather","92447","0.00021924045050446405","4108","Agriculture"
"Patent leather","334921","0.0007942738101118002","4109","Agriculture"
"Waste of leather","2319","0.0000054995684524089705","4110","Agriculture"
"Saddlery and harnesses","11465236","0.027190103581295224","4201","Agriculture"
"Trunks or cases","35839936","0.08499533478307743","4202","Agriculture"
"Leather apparel","14552424","0.03451144973543733","4203","Agriculture"
"Other articles of leather","629696","0.0014933403433411466","4205","Agriculture"
"Other tanned furskins","187142","0.00044381209112579536","4302","Agriculture"
"Furskin apparel","149435","0.0003543889657980744","4303","Agriculture"
"Artificial fur","1309","0.0000031043273411829854","4304","Agriculture"
"Fuel wood","72279","0.0001714115171072307","4401","Agriculture"
"Wood charcoal","26073","0.0000618327935574209","4402","Agriculture"
"Wood in the rough","38681","0.00009173299150824985","4403","Agriculture"
"Wooden railway ties","3591","0.000008516149337042093","4406","Agriculture"
"Wood sawn lengthwise","137604","0.0003263314434347926","4407","Agriculture"
"Sheets for veneering for plywood","119311","0.0002829491210113698","4408","Agriculture"
"Wood shaped along its edges","215583","0.0005112606579024075","4409","Agriculture"
"Particle board and similar board","25432","0.00006031264548584085","4410","Agriculture"
"Fiberboard of wood","18470","0.00004380208249935045","4411","Agriculture"
"Plywood","15844665","0.037576032674854924","4412","Agriculture"
"Densified wood","32087","0.00007609515003555266","4413","Agriculture"
"Wooden frames","1130110","0.002680085081393662","4414","Agriculture"
"Packing boxes","912504","0.002164026826691244","4415","Agriculture"
"Casks, barrels, etc. of wood","13363","0.000031690699969616675","4416","Agriculture"
"Wooden tools","255345","0.000605557268857425","4417","Agriculture"
"Wood carpentry for construction","12354834","0.02929980823680454","4418","Agriculture"
"Wooden kitchenware","335245","0.0007950421844880747","4419","Agriculture"
"Wood marquetry, ornaments, etc.","951677","0.002256926608919022","4420","Agriculture"
"Other articles of wood","1313585","0.00311520078721761","4421","Agriculture"
"Natural cork, raw","5989948","0.014205316538322642","4501","Agriculture"
"Natural cork, debacked","180684","0.0004284967771690653","4502","Agriculture"
"Articles of natural cork","5918686","0.014036316863007606","4503","Agriculture"
"Agglomerated cork","52912","0.00012548217591800925","4504","Agriculture"
"Products of plaiting materials","339082","0.0008041417291848807","4601","Agriculture"
